,跨境数据传输总量_TB,数据交易额_亿元,GDP_亿元,人均GDP_万元,第三产业占比_%,研发经费投入_亿元,发明专利授权量,高新技术企业数,互联网国际出口带宽_Gbps,算力规模_PFLOPS,5G基站密度_个每平方公里
跨境数据传输总量_TB,1.0,0.18799255066888837,0.6184295492959027,0.08425305909417254,0.4442089384704108,0.5772555627324575,0.3813468690529888,0.49121830510479775,0.5146276076270692,0.30360309454154083,-0.2677070036853383
数据交易额_亿元,0.18799255066888837,1.0,0.40725486513460046,0.020840177663063675,0.10289806057555417,0.4006530114899069,0.5246151789767998,0.1210407947773918,0.362787005214265,0.009087917671649542,-0.15064099229244615
GDP_亿元,0.6184295492959027,0.40725486513460046,1.0,0.14287943933205194,0.8402903246980424,0.98705554469564,0.5829967084817157,0.4691959808492515,0.6599150435343333,0.38790961616759845,-0.34233646605437856
人均GDP_万元,0.08425305909417254,0.020840177663063675,0.14287943933205194,1.0,0.24281495649063706,0.15570795462435869,0.08141989355175092,-0.06017991008995348,0.08714597025932937,0.03161210118898163,0.6922058689850297
第三产业占比_%,0.4442089384704108,0.10289806057555417,0.8402903246980424,0.24281495649063706,1.0,0.8454766645142787,0.3463132392420148,0.3275227119633188,0.5151509533492533,0.3663507683673283,-0.19854912616538728
研发经费投入_亿元,0.5772555627324575,0.4006530114899069,0.98705554469564,0.15570795462435869,0.8454766645142787,1.0,0.5813523894935471,0.42187587005191346,0.6246399689911156,0.3754997902365831,-0.32815982095535673
发明专利授权量,0.3813468690529888,0.5246151789767998,0.5829967084817157,0.08141989355175092,0.3463132392420148,0.5813523894935471,1.0,0.39500127894748316,0.635817360083863,0.3401058995822955,-0.257568554364201
高新技术企业数,0.49121830510479775,0.1210407947773918,0.4691959808492515,-0.06017991008995348,0.3275227119633188,0.42187587005191346,0.39500127894748316,1.0,0.5666981694636947,0.3084604276123377,-0.3037262097450707
互联网国际出口带宽_Gbps,0.5146276076270692,0.362787005214265,0.6599150435343333,0.08714597025932937,0.5151509533492533,0.6246399689911156,0.635817360083863,0.5666981694636947,1.0,0.4369925448616872,-0.1797332347474165
算力规模_PFLOPS,0.30360309454154083,0.009087917671649542,0.38790961616759845,0.03161210118898163,0.3663507683673283,0.3754997902365831,0.3401058995822955,0.3084604276123377,0.4369925448616872,1.0,-0.14307794104554838
5G基站密度_个每平方公里,-0.2677070036853383,-0.15064099229244615,-0.34233646605437856,0.6922058689850297,-0.19854912616538728,-0.32815982095535673,-0.257568554364201,-0.3037262097450707,-0.1797332347474165,-0.14307794104554838,1.0
